x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2021	11	21	05	49
x	FR	2007	12	18	17	05
x	LR	2021	11	19	23	43
x	E7	2021	11	21	05	49
x	SR	1000525
x	S7	1630
x	NC	395883
x	C7	0
x	FL	410658
x	F7	339
x	RR	183
x	R7	0
x	NH	88470
x	H7	345
x	BT	38821947972
x	B7	186280041
1	Rr	88778	8.873	2021
1	Rr	89380	8.933	2020
1	Rr	80088	8.005	2019
1	Rr	68927	6.889	2018
1	Rr	60168	6.014	2017
1	Rr	73316	7.328	2016
1	Rr	80796	8.075	2015
1	Rr	110773	11.071	2014
1	Rr	65173	6.514	2013
1	Rr	60742	6.071	2012
1	Rr	57015	5.699	2011
1	Rr	22139	2.213	2010
1	Rr	69710	6.967	2009
1	Rr	71820	7.178	2008
1	Rr	1700	0.170	2007
1	*BT	R	110773	2014
m	Rr	5750	0.575	2018	10
m	Rr	5458	0.546	2018	09
m	Rr	5735	0.573	2018	08
m	Rr	5945	0.594	2018	07
m	Rr	7110	0.711	2018	06
m	Rr	6440	0.644	2018	05
m	Rr	3378	0.338	2018	04
m	Rr	5789	0.579	2018	03
m	Rr	5369	0.537	2018	02
m	Rr	5574	0.557	2018	01
m	Rr	3906	0.390	2017	12
m	Rr	6533	0.653	2017	11
m	Rr	5498	0.550	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.683	2017	05
m	Rr	9999	0.999	2017	04
m	Rr	11887	1.188	2017	03
m	Rr	7941	0.794	2017	02
m	Rr	7572	0.757	2017	01
m	Rr	9483	0.948	2016	12
m	Rr	7121	0.712	2016	11
m	Rr	5510	0.551	2016	10
m	Rr	6288	0.628	2016	09
m	Rr	5888	0.588	2016	08
m	Rr	5445	0.544	2016	07
m	Rr	5042	0.504	2016	06
m	Rr	5495	0.549	2016	05
m	Rr	5341	0.534	2016	04
m	Rr	5558	0.556	2016	03
m	Rr	5548	0.555	2016	02
m	Rr	6597	0.659	2016	01
m	Rr	5574	0.557	2015	12
m	Rr	5330	0.533	2015	11
m	Rr	5671	0.567	2015	10
m	Rr	6196	0.619	2015	09
m	Rr	6788	0.678	2015	08
m	Rr	9120	0.912	2015	07
m	Rr	7156	0.715	2015	06
m	Rr	5694	0.569	2015	05
m	Rr	9635	0.963	2015	04
m	Rr	6215	0.621	2015	03
m	Rr	6084	0.608	2015	02
m	Rr	7333	0.733	2015	01
m	Rr	6608	0.660	2014	12
m	Rr	6997	0.699	2014	11
m	Rr	7537	0.753	2014	10
m	Rr	7043	0.704	2014	09
m	Rr	7324	0.732	2014	08
m	Rr	7905	0.790	2014	07
m	Rr	11654	1.165	2014	06
m	Rr	9211	0.921	2014	05
m	Rr	10588	1.058	2014	04
m	Rr	7817	0.781	2014	03
m	Rr	15229	1.522	2014	02
m	Rr	12860	1.285	2014	01
m	Rr	5325	0.532	2013	12
m	Rr	5513	0.551	2013	11
m	Rr	5598	0.560	2013	10
m	Rr	4655	0.465	2013	09
m	Rr	4938	0.494	2013	08
m	Rr	5623	0.562	2013	07
m	Rr	5492	0.549	2013	06
m	Rr	5211	0.521	2013	05
m	Rr	5842	0.584	2013	04
m	Rr	6068	0.606	2013	03
m	Rr	5055	0.505	2013	02
m	Rr	5853	0.585	2013	01
m	Rr	5688	0.569	2012	12
m	Rr	5477	0.547	2012	11
m	Rr	5413	0.541	2012	10
m	Rr	4331	0.433	2012	09
m	Rr	3866	0.386	2012	08
m	Rr	4314	0.431	2012	07
m	Rr	4655	0.465	2012	06
m	Rr	6047	0.604	2012	05
m	Rr	5114	0.511	2012	04
m	Rr	6128	0.612	2012	03
m	Rr	5430	0.543	2012	02
m	Rr	4279	0.428	2012	01
m	Rr	5548	0.555	2011	12
m	Rr	4779	0.478	2011	11
m	Rr	5117	0.511	2011	10
m	Rr	5431	0.543	2011	09
m	Rr	6256	0.625	2011	08
m	Rr	5699	0.570	2011	07
m	Rr	5420	0.542	2011	06
m	Rr	3975	0.397	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.361	2011	03
m	Rr	5171	0.517	2011	02
m	Rr	6011	0.601	2011	01
m	Rr	1603	0.160	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
m	Rr	0	0.000	2010	09
m	Rr	0	0.000	2010	08
m	Rr	0	0.000	2010	07
m	Rr	4101	0.410	2010	06
m	Rr	5018	0.502	2010	05
m	Rr	4928	0.493	2010	04
m	Rr	5095	0.509	2010	03
m	Rr	1394	0.139	2010	02
m	Rr	0	0.000	2010	01
m	Rr	4665	0.466	2009	12
m	Rr	6187	0.618	2009	11
m	Rr	5498	0.550	2009	10
m	Rr	5066	0.506	2009	09
m	Rr	5718	0.571	2009	08
m	Rr	7436	0.743	2009	07
m	Rr	5685	0.568	2009	06
m	Rr	6120	0.612	2009	05
m	Rr	5310	0.531	2009	04
m	Rr	5515	0.551	2009	03
m	Rr	6123	0.612	2009	02
m	Rr	6387	0.638	2009	01
m	Rr	5763	0.576	2008	12
m	Rr	5420	0.542	2008	11
m	Rr	4722	0.472	2008	10
m	Rr	5435	0.543	2008	09
m	Rr	4843	0.484	2008	08
m	Rr	5382	0.538	2008	07
m	Rr	6082	0.608	2008	06
m	Rr	9946	0.994	2008	05
m	Rr	6420	0.642	2008	04
m	Rr	5431	0.543	2008	03
m	Rr	6469	0.647	2008	02
m	Rr	5907	0.590	2008	01
m	Rr	1700	0.170	2007	12
m	*BT	R	15229	2014	02
W	Rr	1673	0.167	2021	11	14
W	Rr	1625	0.162	2021	11	07
W	Rr	1523	0.152	2021	10	31
W	Rr	1562	0.156	2021	10	24
W	Rr	1474	0.147	2021	10	17
W	Rr	1349	0.135	2021	10	10
W	Rr	1615	0.161	2021	10	03
W	Rr	1598	0.160	2021	09	26
W	Rr	1646	0.165	2021	09	19
W	Rr	1203	0.120	2021	09	12
W	Rr	1106	0.111	2021	09	05
W	Rr	1383	0.138	2021	08	29
W	Rr	1685	0.168	2021	08	22
W	Rr	2071	0.207	2021	08	15
W	Rr	2279	0.228	2021	08	08
W	Rr	2374	0.237	2021	08	01
W	Rr	2543	0.254	2021	07	25
W	Rr	2843	0.284	2021	07	18
W	Rr	2777	0.278	2021	07	11
W	Rr	2756	0.275	2021	07	04
W	Rr	2524	0.252	2021	06	27
W	Rr	2466	0.246	2021	06	20
W	Rr	2262	0.226	2021	06	13
W	Rr	2264	0.226	2021	06	06
W	Rr	2101	0.210	2021	05	30
W	Rr	3009	0.301	2021	05	23
W	Rr	1989	0.199	2021	05	16
W	Rr	2386	0.238	2021	05	09
W	Rr	2138	0.214	2021	05	02
W	Rr	1668	0.167	2021	04	25
W	Rr	2413	0.241	2021	04	18
W	Rr	3035	0.303	2021	04	11
W	Rr	2709	0.271	2021	04	04
W	Rr	1942	0.194	2021	03	28
W	Rr	1666	0.167	2021	03	21
W	Rr	1476	0.148	2021	03	14
W	Rr	1713	0.171	2021	03	07
W	Rr	1777	0.178	2021	02	28
W	Rr	1173	0.117	2021	02	21
W	Rr	1101	0.110	2021	02	14
W	Rr	1699	0.170	2021	02	07
W	Rr	1867	0.187	2021	01	31
W	Rr	1404	0.140	2021	01	24
W	Rr	1564	0.156	2021	01	17
W	Rr	1431	0.143	2021	01	10
W	Rr	1666	0.167	2021	01	03
W	Rr	1926	0.192	2020	12	27
W	Rr	1572	0.157	2020	12	20
W	Rr	1404	0.140	2020	12	13
W	Rr	2272	0.227	2020	12	06
W	Rr	1522	0.152	2020	11	29
W	Rr	1722	0.172	2020	11	22
W	Rr	1580	0.158	2020	11	15
W	Rr	1401	0.140	2020	11	08
W	Rr	1499	0.150	2020	11	01
W	Rr	1470	0.147	2020	10	25
W	Rr	2379	0.238	2020	10	18
W	Rr	1559	0.156	2020	10	11
W	Rr	1729	0.173	2020	10	04
W	Rr	1674	0.167	2020	09	27
W	Rr	1786	0.179	2020	09	20
W	Rr	2200	0.220	2020	09	13
W	Rr	1677	0.168	2020	09	06
W	Rr	1596	0.160	2020	08	30
W	Rr	1833	0.183	2020	08	23
W	Rr	1814	0.181	2020	08	16
W	Rr	2206	0.220	2020	08	09
W	Rr	1397	0.140	2020	08	02
W	Rr	1816	0.182	2020	07	26
W	Rr	1949	0.195	2020	07	19
W	Rr	1532	0.153	2020	07	12
W	Rr	1976	0.197	2020	07	05
W	Rr	1600	0.160	2020	06	28
W	Rr	1627	0.163	2020	06	21
W	Rr	2101	0.210	2020	06	14
W	Rr	1590	0.159	2020	06	07
W	Rr	1492	0.149	2020	05	31
W	Rr	1556	0.156	2020	05	24
W	Rr	1756	0.176	2020	05	17
W	Rr	1568	0.157	2020	05	10
W	Rr	1567	0.157	2020	05	03
W	Rr	1734	0.173	2020	04	26
W	Rr	1675	0.167	2020	04	19
W	Rr	1702	0.170	2020	04	12
W	Rr	1965	0.196	2020	04	05
W	Rr	1329	0.133	2020	03	29
W	Rr	1818	0.182	2020	03	22
W	Rr	1345	0.134	2020	03	15
W	Rr	1581	0.158	2020	03	08
W	Rr	2014	0.201	2020	03	01
W	Rr	1942	0.194	2020	02	23
W	Rr	1748	0.175	2020	02	16
W	Rr	1949	0.195	2020	02	09
W	Rr	1683	0.168	2020	02	02
W	Rr	1436	0.144	2020	01	26
W	Rr	1792	0.179	2020	01	19
W	Rr	1519	0.152	2020	01	12
W	Rr	1420	0.142	2020	01	05
W	Rr	1109	0.111	2019	12	29
W	Rr	1023	0.102	2019	12	22
W	Rr	1584	0.158	2019	12	15
W	Rr	1783	0.178	2019	12	08
W	Rr	1704	0.170	2019	12	01
W	Rr	1178	0.118	2019	11	24
W	Rr	1697	0.170	2019	11	17
W	Rr	1510	0.151	2019	11	10
W	Rr	1383	0.138	2019	11	03
W	Rr	1309	0.131	2019	10	27
W	Rr	1473	0.147	2019	10	20
W	Rr	1519	0.152	2019	10	13
W	Rr	1485	0.148	2019	10	06
W	Rr	1416	0.142	2019	09	29
W	Rr	1499	0.150	2019	09	22
W	Rr	1652	0.165	2019	09	15
W	Rr	1710	0.171	2019	09	08
W	Rr	1485	0.148	2019	09	01
W	Rr	1689	0.169	2019	08	25
W	Rr	1315	0.131	2019	08	18
W	Rr	1619	0.162	2019	08	11
W	Rr	1558	0.156	2019	08	04
W	Rr	1360	0.136	2019	07	28
W	Rr	1191	0.119	2019	07	21
W	Rr	1730	0.173	2019	07	14
W	Rr	1299	0.130	2019	07	07
W	Rr	1339	0.134	2019	06	30
W	Rr	1592	0.159	2019	06	23
W	Rr	1497	0.150	2019	06	16
W	Rr	1450	0.145	2019	06	09
W	Rr	1555	0.155	2019	06	02
W	Rr	1289	0.129	2019	05	26
W	Rr	1863	0.186	2019	05	19
W	Rr	1385	0.138	2019	05	12
W	Rr	1553	0.155	2019	05	05
W	Rr	1655	0.165	2019	04	28
W	Rr	1282	0.128	2019	04	21
W	Rr	1503	0.150	2019	04	14
W	Rr	1623	0.162	2019	04	07
W	Rr	1715	0.171	2019	03	31
W	Rr	1882	0.188	2019	03	24
W	Rr	1464	0.146	2019	03	17
W	Rr	1381	0.138	2019	03	10
W	Rr	1627	0.163	2019	03	03
W	Rr	1773	0.177	2019	02	24
W	Rr	1669	0.167	2019	02	17
W	Rr	1483	0.148	2019	02	10
W	Rr	1391	0.139	2019	02	03
W	Rr	1797	0.180	2019	01	27
W	Rr	1963	0.196	2019	01	20
W	Rr	2029	0.203	2019	01	13
W	Rr	1696	0.170	2019	01	06
W	Rr	1526	0.153	2018	12	30
W	Rr	1226	0.123	2018	12	23
W	Rr	1442	0.144	2018	12	16
W	Rr	1936	0.193	2018	12	09
W	Rr	1809	0.181	2018	12	02
W	Rr	1295	0.129	2018	11	25
W	Rr	1820	0.182	2018	11	18
W	Rr	1802	0.180	2018	11	11
W	Rr	0	0.000	2018	11	04
W	Rr	1473	0.147	2018	10	28
W	Rr	1106	0.111	2018	10	21
W	Rr	1427	0.143	2018	10	14
W	Rr	1214	0.121	2018	10	07
W	Rr	1168	0.117	2018	09	30
W	Rr	1420	0.142	2018	09	23
W	Rr	1197	0.120	2018	09	16
W	Rr	1388	0.139	2018	09	09
W	Rr	1320	0.132	2018	09	02
W	Rr	1246	0.125	2018	08	26
W	Rr	1214	0.121	2018	08	19
W	Rr	1366	0.137	2018	08	12
W	Rr	1195	0.119	2018	08	05
W	Rr	1346	0.135	2018	07	29
W	Rr	1374	0.137	2018	07	22
W	Rr	1508	0.151	2018	07	15
W	Rr	1522	0.152	2018	07	08
W	Rr	909	0.091	2018	07	01
W	Rr	1444	0.144	2018	06	24
W	Rr	2682	0.268	2018	06	17
W	Rr	1365	0.136	2018	06	10
W	Rr	1329	0.133	2018	06	03
W	Rr	1275	0.127	2018	05	27
W	Rr	1392	0.139	2018	05	20
W	Rr	1321	0.132	2018	05	13
W	Rr	1527	0.153	2018	05	06
W	Rr	1517	0.152	2018	04	29
W	Rr	0	0.000	2018	04	22
W	Rr	1364	0.136	2018	04	15
W	Rr	1712	0.171	2018	04	08
W	Rr	0	0.000	2018	04	01
W	Rr	1543	0.154	2018	03	25
W	Rr	1342	0.134	2018	03	18
W	Rr	2429	0.243	2018	03	11
W	Rr	0	0.000	2018	03	04
W	Rr	1366	0.137	2018	02	25
W	Rr	1308	0.131	2018	02	18
W	Rr	1439	0.144	2018	02	11
W	Rr	1731	0.173	2018	02	04
W	Rr	0	0.000	2018	01	28
W	Rr	1434	0.143	2018	01	21
W	Rr	1578	0.158	2018	01	14
W	Rr	1471	0.147	2018	01	07
W	Rr	1246	0.125	2017	12	31
W	Rr	1033	0.103	2017	12	24
W	Rr	1103	0.110	2017	12	17
W	Rr	1406	0.141	2017	12	10
W	Rr	0	0.000	2017	12	03
W	Rr	1335	0.133	2017	11	26
W	Rr	1427	0.143	2017	11	19
W	Rr	1662	0.166	2017	11	12
W	Rr	1414	0.141	2017	11	05
W	Rr	1349	0.135	2017	10	29
W	Rr	1208	0.121	2017	10	22
W	Rr	2013	0.201	2017	10	15
W	Rr	1832	0.183	2017	10	08
W	Rr	0	0.000	2017	10	01
W	Rr	0	0.000	2017	09	24
W	Rr	0	0.000	2017	09	17
W	Rr	0	0.000	2017	09	10
W	Rr	0	0.000	2017	09	03
W	Rr	0	0.000	2017	08	27
W	Rr	0	0.000	2017	08	20
W	Rr	0	0.000	2017	08	13
W	Rr	0	0.000	2017	08	06
W	Rr	0	0.000	2017	07	30
W	Rr	0	0.000	2017	07	23
W	Rr	0	0.000	2017	07	16
W	Rr	0	0.000	2017	07	09
W	Rr	0	0.000	2017	07	02
W	Rr	0	0.000	2017	06	25
W	Rr	0	0.000	2017	06	18
W	Rr	0	0.000	2017	06	11
W	Rr	0	0.000	2017	06	04
W	Rr	25	0.002	2017	05	28
W	Rr	1838	0.184	2017	05	21
W	Rr	1915	0.191	2017	05	14
W	Rr	1676	0.168	2017	05	07
W	Rr	1677	0.168	2017	04	30
W	Rr	2071	0.207	2017	04	23
W	Rr	1978	0.198	2017	04	16
W	Rr	1874	0.187	2017	04	09
W	Rr	3435	0.343	2017	04	02
W	Rr	2619	0.262	2017	03	26
W	Rr	2633	0.263	2017	03	19
W	Rr	2413	0.241	2017	03	12
W	Rr	3092	0.309	2017	03	05
W	Rr	2295	0.229	2017	02	26
W	Rr	2204	0.220	2017	02	19
W	Rr	1869	0.187	2017	02	12
W	Rr	1973	0.197	2017	02	05
W	Rr	1783	0.178	2017	01	29
W	Rr	1768	0.177	2017	01	22
W	Rr	1585	0.158	2017	01	15
W	Rr	1768	0.177	2017	01	08
W	Rr	1740	0.174	2017	01	01
W	Rr	1549	0.155	2016	12	25
W	Rr	2202	0.220	2016	12	18
W	Rr	1812	0.181	2016	12	11
W	Rr	2648	0.265	2016	12	04
W	Rr	2236	0.223	2016	11	27
W	Rr	1321	0.132	2016	11	20
W	Rr	1996	0.199	2016	11	13
W	Rr	1716	0.172	2016	11	06
W	Rr	1564	0.156	2016	10	30
W	Rr	1362	0.136	2016	10	23
W	Rr	1707	0.171	2016	10	16
W	Rr	1696	0.170	2016	10	09
W	Rr	36	0.004	2016	10	02
W	Rr	2002	0.200	2016	09	25
W	Rr	1399	0.140	2016	09	18
W	Rr	1199	0.120	2016	09	11
W	Rr	1326	0.133	2016	09	04
W	Rr	1316	0.132	2016	08	28
W	Rr	1257	0.126	2016	08	21
W	Rr	1208	0.121	2016	08	14
W	Rr	1602	0.160	2016	08	07
W	Rr	1319	0.132	2016	07	31
W	Rr	1796	0.180	2016	07	24
W	Rr	1171	0.117	2016	07	17
W	Rr	1167	0.117	2016	07	10
W	Rr	917	0.092	2016	07	03
W	Rr	920	0.092	2016	06	26
W	Rr	1179	0.118	2016	06	19
W	Rr	1288	0.129	2016	06	12
W	Rr	1237	0.124	2016	06	05
W	Rr	1263	0.126	2016	05	29
W	Rr	1338	0.134	2016	05	22
W	Rr	1184	0.118	2016	05	15
W	Rr	1365	0.136	2016	05	08
W	Rr	974	0.097	2016	05	01
W	Rr	1311	0.131	2016	04	24
W	Rr	1127	0.113	2016	04	17
W	Rr	1248	0.125	2016	04	10
W	Rr	1451	0.145	2016	04	03
W	Rr	987	0.099	2016	03	27
W	Rr	1233	0.123	2016	03	20
W	Rr	1347	0.135	2016	03	13
W	Rr	1347	0.135	2016	03	06
W	Rr	1236	0.124	2016	02	28
W	Rr	1422	0.142	2016	02	21
W	Rr	1085	0.108	2016	02	14
W	Rr	1427	0.143	2016	02	07
W	Rr	1359	0.136	2016	01	31
W	Rr	1708	0.171	2016	01	24
W	Rr	1476	0.148	2016	01	17
W	Rr	1563	0.156	2016	01	10
W	Rr	1381	0.138	2016	01	03
W	Rr	1273	0.127	2015	12	27
W	Rr	1084	0.108	2015	12	20
W	Rr	1344	0.134	2015	12	13
W	Rr	1336	0.134	2015	12	06
W	Rr	1123	0.112	2015	11	29
W	Rr	960	0.096	2015	11	22
W	Rr	1337	0.134	2015	11	15
W	Rr	1400	0.140	2015	11	08
W	Rr	1383	0.138	2015	11	01
W	Rr	1250	0.125	2015	10	25
W	Rr	1366	0.137	2015	10	18
W	Rr	1367	0.137	2015	10	11
W	Rr	1214	0.121	2015	10	04
W	Rr	1152	0.115	2015	09	27
W	Rr	1387	0.139	2015	09	20
W	Rr	1655	0.165	2015	09	13
W	Rr	1526	0.153	2015	09	06
W	Rr	1242	0.124	2015	08	30
W	Rr	1800	0.180	2015	08	23
W	Rr	1527	0.153	2015	08	16
W	Rr	1386	0.139	2015	08	09
W	Rr	1593	0.159	2015	08	02
W	Rr	1567	0.157	2015	07	26
W	Rr	1980	0.198	2015	07	19
W	Rr	2180	0.218	2015	07	12
W	Rr	2008	0.201	2015	07	05
W	Rr	2297	0.230	2015	06	28
W	Rr	1556	0.156	2015	06	21
W	Rr	1380	0.138	2015	06	14
W	Rr	2013	0.201	2015	06	07
W	Rr	1651	0.165	2015	05	31
W	Rr	1224	0.122	2015	05	24
W	Rr	1355	0.135	2015	05	17
W	Rr	1179	0.118	2015	05	10
W	Rr	1436	0.144	2015	05	03
W	Rr	1671	0.167	2015	04	26
W	Rr	1878	0.188	2015	04	19
W	Rr	2326	0.232	2015	04	12
W	Rr	2636	0.263	2015	04	05
W	Rr	2297	0.230	2015	03	29
W	Rr	1237	0.124	2015	03	22
W	Rr	1453	0.145	2015	03	15
W	Rr	1399	0.140	2015	03	08
W	Rr	1287	0.129	2015	03	01
W	Rr	1249	0.125	2015	02	22
W	Rr	1373	0.137	2015	02	15
W	Rr	1790	0.179	2015	02	08
W	Rr	1672	0.167	2015	02	01
W	Rr	1543	0.154	2015	01	25
W	Rr	1463	0.146	2015	01	18
W	Rr	1696	0.170	2015	01	11
W	Rr	1707	0.171	2015	01	04
W	Rr	1833	0.183	2014	12	28
W	Rr	1335	0.133	2014	12	21
W	Rr	1644	0.164	2014	12	14
W	Rr	1541	0.154	2014	12	07
W	Rr	1335	0.133	2014	11	30
W	Rr	1262	0.126	2014	11	23
W	Rr	2009	0.201	2014	11	16
W	Rr	1566	0.157	2014	11	09
W	Rr	1814	0.181	2014	11	02
W	Rr	1452	0.145	2014	10	26
W	Rr	1642	0.164	2014	10	19
W	Rr	1795	0.179	2014	10	12
W	Rr	1836	0.184	2014	10	05
W	Rr	1662	0.166	2014	09	28
W	Rr	1843	0.184	2014	09	21
W	Rr	1678	0.168	2014	09	14
W	Rr	1598	0.160	2014	09	07
W	Rr	1418	0.142	2014	08	31
W	Rr	1584	0.158	2014	08	24
W	Rr	1571	0.157	2014	08	17
W	Rr	1727	0.173	2014	08	10
W	Rr	1927	0.193	2014	08	03
W	Rr	1691	0.169	2014	07	27
W	Rr	1702	0.170	2014	07	20
W	Rr	1624	0.162	2014	07	13
W	Rr	1831	0.183	2014	07	06
W	Rr	1867	0.187	2014	06	29
W	Rr	1927	0.193	2014	06	22
W	Rr	2134	0.213	2014	06	15
W	Rr	4851	0.485	2014	06	08
W	Rr	2293	0.229	2014	06	01
W	Rr	3180	0.318	2014	05	25
W	Rr	1468	0.147	2014	05	18
W	Rr	1808	0.181	2014	05	11
W	Rr	1998	0.200	2014	05	04
W	Rr	1876	0.188	2014	04	27
W	Rr	2330	0.233	2014	04	20
W	Rr	2565	0.256	2014	04	13
W	Rr	2652	0.265	2014	04	06
W	Rr	2574	0.257	2014	03	30
W	Rr	1186	0.119	2014	03	23
W	Rr	1305	0.130	2014	03	16
W	Rr	2273	0.227	2014	03	09
W	Rr	2231	0.223	2014	03	02
W	Rr	1925	0.192	2014	02	23
W	Rr	7060	0.706	2014	02	16
W	Rr	2854	0.285	2014	02	09
W	Rr	3190	0.319	2014	02	02
W	Rr	3743	0.374	2014	01	26
W	Rr	3643	0.364	2014	01	19
W	Rr	2961	0.296	2014	01	12
W	Rr	2319	0.232	2014	01	05
W	Rr	981	0.098	2013	12	29
W	Rr	1108	0.111	2013	12	22
W	Rr	1226	0.123	2013	12	15
W	Rr	1285	0.128	2013	12	08
W	Rr	1289	0.129	2013	12	01
W	Rr	1404	0.140	2013	11	24
W	Rr	1142	0.114	2013	11	17
W	Rr	1334	0.133	2013	11	10
W	Rr	1277	0.128	2013	11	03
W	Rr	1035	0.103	2013	10	27
W	Rr	1309	0.131	2013	10	20
W	Rr	1302	0.130	2013	10	13
W	Rr	1432	0.143	2013	10	06
W	Rr	1178	0.118	2013	09	29
W	Rr	947	0.095	2013	09	22
W	Rr	1254	0.125	2013	09	15
W	Rr	1099	0.110	2013	09	08
W	Rr	1053	0.105	2013	09	01
W	Rr	1010	0.101	2013	08	25
W	Rr	1102	0.110	2013	08	18
W	Rr	1063	0.106	2013	08	11
W	Rr	1105	0.110	2013	08	04
W	Rr	1377	0.138	2013	07	28
W	Rr	1498	0.150	2013	07	21
W	Rr	1295	0.129	2013	07	14
W	Rr	1237	0.124	2013	07	07
W	Rr	1003	0.100	2013	06	30
W	Rr	1275	0.127	2013	06	23
W	Rr	1072	0.107	2013	06	16
W	Rr	1249	0.125	2013	06	09
W	Rr	1521	0.152	2013	06	02
W	Rr	1256	0.126	2013	05	26
W	Rr	1091	0.109	2013	05	19
W	Rr	1359	0.136	2013	05	12
W	Rr	1130	0.113	2013	05	05
W	Rr	1215	0.121	2013	04	28
W	Rr	1368	0.137	2013	04	21
W	Rr	1318	0.132	2013	04	14
W	Rr	1408	0.141	2013	04	07
W	Rr	1277	0.128	2013	03	31
