x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2022	08	14	05	47
x	FR	2007	12	18	17	05
x	LR	2022	08	12	23	19
x	E7	2022	08	14	05	47
x	SR	1061652
x	S7	1406
x	NC	418434
x	C7	0
x	FL	429536
x	F7	593
x	RR	192
x	R7	1
x	NH	94134
x	H7	269
x	BT	45205191887
x	B7	159204013
1	Rr	50988	4.803	2022
1	Rr	98917	9.317	2021
1	Rr	89380	8.419	2020
1	Rr	80088	7.544	2019
1	Rr	68927	6.492	2018
1	Rr	60168	5.667	2017
1	Rr	73316	6.906	2016
1	Rr	80796	7.610	2015
1	Rr	110773	10.434	2014
1	Rr	65173	6.139	2013
1	Rr	60742	5.721	2012
1	Rr	57015	5.370	2011
1	Rr	22139	2.085	2010
1	Rr	69710	6.566	2009
1	Rr	71820	6.765	2008
1	Rr	1700	0.160	2007
1	*BT	R	110773	2014
W	Rr	1481	0.139	2022	02	20
W	Rr	1657	0.156	2022	02	13
W	Rr	1518	0.143	2022	02	06
W	Rr	1787	0.168	2022	01	30
W	Rr	2021	0.190	2022	01	23
W	Rr	1429	0.135	2022	01	16
W	Rr	1693	0.159	2022	01	09
W	Rr	1541	0.145	2022	01	02
W	Rr	1311	0.123	2021	12	26
W	Rr	1839	0.173	2021	12	19
W	Rr	1732	0.163	2021	12	12
W	Rr	2001	0.188	2021	12	05
W	Rr	1641	0.155	2021	11	28
W	Rr	1615	0.152	2021	11	21
W	Rr	1673	0.158	2021	11	14
W	Rr	1625	0.153	2021	11	07
W	Rr	1523	0.143	2021	10	31
W	Rr	1562	0.147	2021	10	24
W	Rr	1474	0.139	2021	10	17
W	Rr	1349	0.127	2021	10	10
W	Rr	1615	0.152	2021	10	03
W	Rr	1598	0.151	2021	09	26
W	Rr	1646	0.155	2021	09	19
W	Rr	1203	0.113	2021	09	12
W	Rr	1106	0.104	2021	09	05
W	Rr	1383	0.130	2021	08	29
W	Rr	1685	0.159	2021	08	22
W	Rr	2071	0.195	2021	08	15
W	Rr	2279	0.215	2021	08	08
W	Rr	2374	0.224	2021	08	01
W	Rr	2543	0.240	2021	07	25
W	Rr	2843	0.268	2021	07	18
W	Rr	2777	0.262	2021	07	11
W	Rr	2756	0.260	2021	07	04
W	Rr	2524	0.238	2021	06	27
W	Rr	2466	0.232	2021	06	20
W	Rr	2262	0.213	2021	06	13
W	Rr	2264	0.213	2021	06	06
W	Rr	2101	0.198	2021	05	30
W	Rr	3009	0.283	2021	05	23
W	Rr	1989	0.187	2021	05	16
W	Rr	2386	0.225	2021	05	09
W	Rr	2138	0.201	2021	05	02
W	Rr	1668	0.157	2021	04	25
W	Rr	2413	0.227	2021	04	18
W	Rr	3035	0.286	2021	04	11
W	Rr	2709	0.255	2021	04	04
W	Rr	1942	0.183	2021	03	28
W	Rr	1666	0.157	2021	03	21
W	Rr	1476	0.139	2021	03	14
W	Rr	1713	0.161	2021	03	07
W	Rr	1777	0.167	2021	02	28
W	Rr	1173	0.110	2021	02	21
W	Rr	1101	0.104	2021	02	14
W	Rr	1699	0.160	2021	02	07
W	Rr	1867	0.176	2021	01	31
W	Rr	1404	0.132	2021	01	24
W	Rr	1564	0.147	2021	01	17
W	Rr	1431	0.135	2021	01	10
W	Rr	1666	0.157	2021	01	03
W	Rr	1926	0.181	2020	12	27
W	Rr	1572	0.148	2020	12	20
W	Rr	1404	0.132	2020	12	13
W	Rr	2272	0.214	2020	12	06
W	Rr	1522	0.143	2020	11	29
W	Rr	1722	0.162	2020	11	22
W	Rr	1580	0.149	2020	11	15
W	Rr	1401	0.132	2020	11	08
W	Rr	1499	0.141	2020	11	01
W	Rr	1470	0.138	2020	10	25
W	Rr	2379	0.224	2020	10	18
W	Rr	1559	0.147	2020	10	11
W	Rr	1729	0.163	2020	10	04
W	Rr	1674	0.158	2020	09	27
W	Rr	1786	0.168	2020	09	20
W	Rr	2200	0.207	2020	09	13
W	Rr	1677	0.158	2020	09	06
W	Rr	1596	0.150	2020	08	30
W	Rr	1833	0.173	2020	08	23
W	Rr	1814	0.171	2020	08	16
W	Rr	2206	0.208	2020	08	09
W	Rr	1397	0.132	2020	08	02
W	Rr	1816	0.171	2020	07	26
W	Rr	1949	0.184	2020	07	19
W	Rr	1532	0.144	2020	07	12
W	Rr	1976	0.186	2020	07	05
W	Rr	1600	0.151	2020	06	28
W	Rr	1627	0.153	2020	06	21
W	Rr	2101	0.198	2020	06	14
W	Rr	1590	0.150	2020	06	07
W	Rr	1492	0.141	2020	05	31
W	Rr	1556	0.147	2020	05	24
W	Rr	1756	0.165	2020	05	17
W	Rr	1568	0.148	2020	05	10
W	Rr	1567	0.148	2020	05	03
W	Rr	1734	0.163	2020	04	26
W	Rr	1675	0.158	2020	04	19
W	Rr	1702	0.160	2020	04	12
W	Rr	1965	0.185	2020	04	05
W	Rr	1329	0.125	2020	03	29
W	Rr	1818	0.171	2020	03	22
W	Rr	1345	0.127	2020	03	15
W	Rr	1581	0.149	2020	03	08
W	Rr	2014	0.190	2020	03	01
W	Rr	1942	0.183	2020	02	23
W	Rr	1748	0.165	2020	02	16
W	Rr	1949	0.184	2020	02	09
W	Rr	1683	0.159	2020	02	02
W	Rr	1436	0.135	2020	01	26
W	Rr	1792	0.169	2020	01	19
W	Rr	1519	0.143	2020	01	12
W	Rr	1420	0.134	2020	01	05
W	Rr	1109	0.104	2019	12	29
W	Rr	1023	0.096	2019	12	22
W	Rr	1584	0.149	2019	12	15
W	Rr	1783	0.168	2019	12	08
W	Rr	1704	0.161	2019	12	01
W	Rr	1178	0.111	2019	11	24
W	Rr	1697	0.160	2019	11	17
W	Rr	1510	0.142	2019	11	10
W	Rr	1383	0.130	2019	11	03
W	Rr	1309	0.123	2019	10	27
W	Rr	1473	0.139	2019	10	20
W	Rr	1519	0.143	2019	10	13
W	Rr	1485	0.140	2019	10	06
W	Rr	1416	0.133	2019	09	29
W	Rr	1499	0.141	2019	09	22
W	Rr	1652	0.156	2019	09	15
W	Rr	1710	0.161	2019	09	08
W	Rr	1485	0.140	2019	09	01
W	Rr	1689	0.159	2019	08	25
W	Rr	1315	0.124	2019	08	18
W	Rr	1619	0.152	2019	08	11
W	Rr	1558	0.147	2019	08	04
W	Rr	1360	0.128	2019	07	28
W	Rr	1191	0.112	2019	07	21
W	Rr	1730	0.163	2019	07	14
W	Rr	1299	0.122	2019	07	07
W	Rr	1339	0.126	2019	06	30
W	Rr	1592	0.150	2019	06	23
W	Rr	1497	0.141	2019	06	16
W	Rr	1450	0.137	2019	06	09
W	Rr	1555	0.146	2019	06	02
W	Rr	1289	0.121	2019	05	26
W	Rr	1863	0.175	2019	05	19
W	Rr	1385	0.130	2019	05	12
W	Rr	1553	0.146	2019	05	05
W	Rr	1655	0.156	2019	04	28
W	Rr	1282	0.121	2019	04	21
W	Rr	1503	0.142	2019	04	14
W	Rr	1623	0.153	2019	04	07
W	Rr	1715	0.162	2019	03	31
W	Rr	1882	0.177	2019	03	24
W	Rr	1464	0.138	2019	03	17
W	Rr	1381	0.130	2019	03	10
W	Rr	1627	0.153	2019	03	03
W	Rr	1773	0.167	2019	02	24
W	Rr	1669	0.157	2019	02	17
W	Rr	1483	0.140	2019	02	10
W	Rr	1391	0.131	2019	02	03
W	Rr	1797	0.169	2019	01	27
W	Rr	1963	0.185	2019	01	20
W	Rr	2029	0.191	2019	01	13
W	Rr	1696	0.160	2019	01	06
W	Rr	1526	0.144	2018	12	30
W	Rr	1226	0.115	2018	12	23
W	Rr	1442	0.136	2018	12	16
W	Rr	1936	0.182	2018	12	09
W	Rr	1809	0.170	2018	12	02
W	Rr	1295	0.122	2018	11	25
W	Rr	1820	0.171	2018	11	18
W	Rr	1802	0.170	2018	11	11
W	Rr	0	0.000	2018	11	04
W	Rr	1473	0.139	2018	10	28
W	Rr	1106	0.104	2018	10	21
W	Rr	1427	0.134	2018	10	14
W	Rr	1214	0.114	2018	10	07
W	Rr	1168	0.110	2018	09	30
W	Rr	1420	0.134	2018	09	23
W	Rr	1197	0.113	2018	09	16
W	Rr	1388	0.131	2018	09	09
W	Rr	1320	0.124	2018	09	02
W	Rr	1246	0.117	2018	08	26
W	Rr	1214	0.114	2018	08	19
W	Rr	1366	0.129	2018	08	12
W	Rr	1195	0.113	2018	08	05
W	Rr	1346	0.127	2018	07	29
W	Rr	1374	0.129	2018	07	22
W	Rr	1508	0.142	2018	07	15
W	Rr	1522	0.143	2018	07	08
W	Rr	909	0.086	2018	07	01
W	Rr	1444	0.136	2018	06	24
W	Rr	2682	0.253	2018	06	17
W	Rr	1365	0.129	2018	06	10
W	Rr	1329	0.125	2018	06	03
W	Rr	1275	0.120	2018	05	27
W	Rr	1392	0.131	2018	05	20
W	Rr	1321	0.124	2018	05	13
W	Rr	1527	0.144	2018	05	06
W	Rr	1517	0.143	2018	04	29
W	Rr	0	0.000	2018	04	22
W	Rr	1364	0.128	2018	04	15
W	Rr	1712	0.161	2018	04	08
W	Rr	0	0.000	2018	04	01
W	Rr	1543	0.145	2018	03	25
W	Rr	1342	0.126	2018	03	18
W	Rr	2429	0.229	2018	03	11
W	Rr	0	0.000	2018	03	04
W	Rr	1366	0.129	2018	02	25
W	Rr	1308	0.123	2018	02	18
W	Rr	1439	0.136	2018	02	11
W	Rr	1731	0.163	2018	02	04
W	Rr	0	0.000	2018	01	28
W	Rr	1434	0.135	2018	01	21
W	Rr	1578	0.149	2018	01	14
W	Rr	1471	0.139	2018	01	07
W	Rr	1246	0.117	2017	12	31
W	Rr	1033	0.097	2017	12	24
W	Rr	1103	0.104	2017	12	17
W	Rr	1406	0.132	2017	12	10
W	Rr	0	0.000	2017	12	03
W	Rr	1335	0.126	2017	11	26
W	Rr	1427	0.134	2017	11	19
W	Rr	1662	0.157	2017	11	12
W	Rr	1414	0.133	2017	11	05
W	Rr	1349	0.127	2017	10	29
W	Rr	1208	0.114	2017	10	22
W	Rr	2013	0.190	2017	10	15
W	Rr	1832	0.173	2017	10	08
W	Rr	0	0.000	2017	10	01
W	Rr	0	0.000	2017	09	24
W	Rr	0	0.000	2017	09	17
W	Rr	0	0.000	2017	09	10
W	Rr	0	0.000	2017	09	03
W	Rr	0	0.000	2017	08	27
W	Rr	0	0.000	2017	08	20
W	Rr	0	0.000	2017	08	13
W	Rr	0	0.000	2017	08	06
W	Rr	0	0.000	2017	07	30
W	Rr	0	0.000	2017	07	23
W	Rr	0	0.000	2017	07	16
W	Rr	0	0.000	2017	07	09
W	Rr	0	0.000	2017	07	02
W	Rr	0	0.000	2017	06	25
W	Rr	0	0.000	2017	06	18
W	Rr	0	0.000	2017	06	11
W	Rr	0	0.000	2017	06	04
W	Rr	25	0.002	2017	05	28
W	Rr	1838	0.173	2017	05	21
W	Rr	1915	0.180	2017	05	14
W	Rr	1676	0.158	2017	05	07
W	Rr	1677	0.158	2017	04	30
W	Rr	2071	0.195	2017	04	23
W	Rr	1978	0.186	2017	04	16
W	Rr	1874	0.177	2017	04	09
W	Rr	3435	0.324	2017	04	02
W	Rr	2619	0.247	2017	03	26
W	Rr	2633	0.248	2017	03	19
W	Rr	2413	0.227	2017	03	12
W	Rr	3092	0.291	2017	03	05
W	Rr	2295	0.216	2017	02	26
W	Rr	2204	0.208	2017	02	19
W	Rr	1869	0.176	2017	02	12
W	Rr	1973	0.186	2017	02	05
W	Rr	1783	0.168	2017	01	29
W	Rr	1768	0.167	2017	01	22
W	Rr	1585	0.149	2017	01	15
W	Rr	1768	0.167	2017	01	08
W	Rr	1740	0.164	2017	01	01
W	Rr	1549	0.146	2016	12	25
W	Rr	2202	0.207	2016	12	18
W	Rr	1812	0.171	2016	12	11
W	Rr	2648	0.249	2016	12	04
W	Rr	2236	0.211	2016	11	27
W	Rr	1321	0.124	2016	11	20
W	Rr	1996	0.188	2016	11	13
W	Rr	1716	0.162	2016	11	06
W	Rr	1564	0.147	2016	10	30
W	Rr	1362	0.128	2016	10	23
W	Rr	1707	0.161	2016	10	16
W	Rr	1696	0.160	2016	10	09
W	Rr	36	0.003	2016	10	02
W	Rr	2002	0.189	2016	09	25
W	Rr	1399	0.132	2016	09	18
W	Rr	1199	0.113	2016	09	11
W	Rr	1326	0.125	2016	09	04
W	Rr	1316	0.124	2016	08	28
W	Rr	1257	0.118	2016	08	21
W	Rr	1208	0.114	2016	08	14
W	Rr	1602	0.151	2016	08	07
W	Rr	1319	0.124	2016	07	31
W	Rr	1796	0.169	2016	07	24
W	Rr	1171	0.110	2016	07	17
W	Rr	1167	0.110	2016	07	10
W	Rr	917	0.086	2016	07	03
W	Rr	920	0.087	2016	06	26
W	Rr	1179	0.111	2016	06	19
W	Rr	1288	0.121	2016	06	12
W	Rr	1237	0.117	2016	06	05
W	Rr	1263	0.119	2016	05	29
W	Rr	1338	0.126	2016	05	22
W	Rr	1184	0.112	2016	05	15
W	Rr	1365	0.129	2016	05	08
W	Rr	974	0.092	2016	05	01
W	Rr	1311	0.123	2016	04	24
W	Rr	1127	0.106	2016	04	17
W	Rr	1248	0.118	2016	04	10
W	Rr	1451	0.137	2016	04	03
W	Rr	987	0.093	2016	03	27
W	Rr	1233	0.116	2016	03	20
W	Rr	1347	0.127	2016	03	13
W	Rr	1347	0.127	2016	03	06
W	Rr	1236	0.116	2016	02	28
W	Rr	1422	0.134	2016	02	21
W	Rr	1085	0.102	2016	02	14
W	Rr	1427	0.134	2016	02	07
W	Rr	1359	0.128	2016	01	31
W	Rr	1708	0.161	2016	01	24
W	Rr	1476	0.139	2016	01	17
W	Rr	1563	0.147	2016	01	10
W	Rr	1381	0.130	2016	01	03
W	Rr	1273	0.120	2015	12	27
W	Rr	1084	0.102	2015	12	20
W	Rr	1344	0.127	2015	12	13
W	Rr	1336	0.126	2015	12	06
W	Rr	1123	0.106	2015	11	29
W	Rr	960	0.090	2015	11	22
W	Rr	1337	0.126	2015	11	15
W	Rr	1400	0.132	2015	11	08
W	Rr	1383	0.130	2015	11	01
W	Rr	1250	0.118	2015	10	25
W	Rr	1366	0.129	2015	10	18
W	Rr	1367	0.129	2015	10	11
W	Rr	1214	0.114	2015	10	04
W	Rr	1152	0.109	2015	09	27
W	Rr	1387	0.131	2015	09	20
W	Rr	1655	0.156	2015	09	13
W	Rr	1526	0.144	2015	09	06
W	Rr	1242	0.117	2015	08	30
W	Rr	1800	0.170	2015	08	23
W	Rr	1527	0.144	2015	08	16
W	Rr	1386	0.131	2015	08	09
W	Rr	1593	0.150	2015	08	02
W	Rr	1567	0.148	2015	07	26
W	Rr	1980	0.187	2015	07	19
W	Rr	2180	0.205	2015	07	12
W	Rr	2008	0.189	2015	07	05
W	Rr	2297	0.216	2015	06	28
W	Rr	1556	0.147	2015	06	21
W	Rr	1380	0.130	2015	06	14
W	Rr	2013	0.190	2015	06	07
W	Rr	1651	0.156	2015	05	31
W	Rr	1224	0.115	2015	05	24
W	Rr	1355	0.128	2015	05	17
W	Rr	1179	0.111	2015	05	10
W	Rr	1436	0.135	2015	05	03
W	Rr	1671	0.157	2015	04	26
W	Rr	1878	0.177	2015	04	19
W	Rr	2326	0.219	2015	04	12
W	Rr	2636	0.248	2015	04	05
W	Rr	2297	0.216	2015	03	29
W	Rr	1237	0.117	2015	03	22
W	Rr	1453	0.137	2015	03	15
W	Rr	1399	0.132	2015	03	08
W	Rr	1287	0.121	2015	03	01
W	Rr	1249	0.118	2015	02	22
W	Rr	1373	0.129	2015	02	15
W	Rr	1790	0.169	2015	02	08
W	Rr	1672	0.157	2015	02	01
W	Rr	1543	0.145	2015	01	25
W	Rr	1463	0.138	2015	01	18
W	Rr	1696	0.160	2015	01	11
W	Rr	1707	0.161	2015	01	04
W	Rr	1833	0.173	2014	12	28
W	Rr	1335	0.126	2014	12	21
W	Rr	1644	0.155	2014	12	14
W	Rr	1541	0.145	2014	12	07
W	Rr	1335	0.126	2014	11	30
W	Rr	1262	0.119	2014	11	23
W	Rr	2009	0.189	2014	11	16
W	Rr	1566	0.148	2014	11	09
W	Rr	1814	0.171	2014	11	02
W	Rr	1452	0.137	2014	10	26
W	Rr	1642	0.155	2014	10	19
W	Rr	1795	0.169	2014	10	12
W	Rr	1836	0.173	2014	10	05
W	Rr	1662	0.157	2014	09	28
W	Rr	1843	0.174	2014	09	21
W	Rr	1678	0.158	2014	09	14
W	Rr	1598	0.151	2014	09	07
W	Rr	1418	0.134	2014	08	31
W	Rr	1584	0.149	2014	08	24
W	Rr	1571	0.148	2014	08	17
W	Rr	1727	0.163	2014	08	10
W	Rr	1927	0.182	2014	08	03
W	Rr	1691	0.159	2014	07	27
W	Rr	1702	0.160	2014	07	20
W	Rr	1624	0.153	2014	07	13
W	Rr	1831	0.172	2014	07	06
W	Rr	1867	0.176	2014	06	29
W	Rr	1927	0.182	2014	06	22
W	Rr	2134	0.201	2014	06	15
W	Rr	4851	0.457	2014	06	08
W	Rr	2293	0.216	2014	06	01
W	Rr	3180	0.300	2014	05	25
W	Rr	1468	0.138	2014	05	18
W	Rr	1808	0.170	2014	05	11
W	Rr	1998	0.188	2014	05	04
W	Rr	1876	0.177	2014	04	27
W	Rr	2330	0.219	2014	04	20
W	Rr	2565	0.242	2014	04	13
W	Rr	2652	0.250	2014	04	06
W	Rr	2574	0.242	2014	03	30
W	Rr	1186	0.112	2014	03	23
